Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
NGC 7606,,,23:19:04.78,-08:29:06.3,5.26,4.47,11.0,NGC,7606,Galaxy,galaxies,Aquarius,,,tiny_dso
NGC 7635,,Bubble Nebula,23:20:45.60,+61:12:44.5,15.0,8.0,,NGC,7635,HII Ionized region,nebulae,Cassiopeia,,,large_dso
NGC 7686,,,23:30:07.38,+49:08:02.8,3.6,,5.6,NGC,7686,Open Cluster,clusters,Andromeda,,,small_dso
NGC 7762,,,23:50:01.75,+68:02:16.7,6.5,,,NGC,7762,Open Cluster,clusters,Cepheus,,,large_dso
NGC 7788,,,23:56:45.58,+61:23:59.7,2.4,,9.4,NGC,7788,Open Cluster,clusters,Cassiopeia,,,small_dso
NGC 7789,,,23:57:24.06,+56:42:29.8,14.4,,6.7,NGC,7789,Open Cluster,clusters,Cassiopeia,,,large_dso
NGC 7790,,,23:58:24.26,+61:12:29.9,3.6,,8.5,NGC,7790,Open Cluster,clusters,Cassiopeia,,,small_dso
NGC 7793,,,23:57:49.83,-32:35:27.7,10.42,6.05,9.29,NGC,7793,Galaxy,galaxies,Sculptor,,,small_dso
NGC 7814,,,00:03:14.89,+16:08:43.5,4.37,1.88,10.6,NGC,7814,Galaxy,galaxies,Pegasus,,,tiny_dso
NGC 7822,,,00:03:35.35,+67:09:41.9,20.0,4.0,,NGC,7822,HII Ionized region,nebulae,Cepheus,60.0,60.0,large_dso
UGC 5470,,Leo I,10:08:28.10,+12:18:23.0,11.75,8.51,10.36,UGC,5470,Galaxy,galaxies,Leo,,,tiny_dso
